TEXTO,CARRERA,LABEL
interesado diseño bioclimático eficiencia energético utilizar software simulación ambiental,ARQUITECTURA,6
apasionar comunicación social medio digital investigar estrategia transformir difusión información promuevan cambio social,COMUNICACIÓN SOCIAL,3
gustar analizar sistema proponer mejora,INDUSTRIAL,0
disfrutar mediar resolver conflicto interno,RELACIONES INDUSTRIALES,12
interesado utilizar modelado 3d crear estructura innovadora,ARQUITECTURA,6
gustar red social,COMUNICACIÓN SOCIAL,3
fascinar sociología tecnología innovación,SOCIOLOGÍA,1
trabajo teoría interseccional género feminismo,SOCIOLOGÍA,1
querer empezar negocio sostenible ético,ADMINISTRACIÓN,7
interesado auditoría prevención fraude,CONTADURÍA,4
gustar integrar internet cosa vida diario,TELECOMUNICACIONES,16
apasionar entender comunicar dispositivo móvil,TELECOMUNICACIONES,16
palabra escrito transformador,LETRAS,10
querer especializar yo contabilidad internacional,CONTADURÍA,4
participé diseño antena radiofrecuencia mejorar cobertura red,TELECOMUNICACIONES,16
trabajo norma contabilidad querer aplicar norma internacional,CONTADURÍA,4
fascinar teología sistemático hermenéutico exégesis bíblico,TEOLOGÍA,8
encantar innovación proceso industrial,INDUSTRIAL,0
gustar promover entorno trabajo saludable,RELACIONES INDUSTRIALES,12
disfruto investigar forma transmitir dato,TELECOMUNICACIONES,16
querer implementar industria 40 internet cosa proceso fabricación,INDUSTRIAL,0
apasionar crear edificio inspirar gente,ARQUITECTURA,6
apasionar estudiar derecho laboral asegurar relación justo empleador trabajador,DERECHO,11
gustar operación eficiente,INDUSTRIAL,0
estudio dinámico recurso humano negociación promoción participación activo bienestar organización,RELACIONES INDUSTRIALES,12
gustar investigar método enseñanza innovador,EDUCACIÓN,14
estudiar implantación robot colaborativo línea montaje aumentar productividad,INDUSTRIAL,0
éxito empresa depender compromiso persona,RELACIONES INDUSTRIALES,12
utilizar técnica diseño simulación desarrollar proyecto urbano responder desafío ambiental,CIVIL,9
interesar gestión sostenible ético negocio,ADMINISTRACIÓN,7
investigar virtualización gestión eficiente red telecomunicación,TELECOMUNICACIONES,16
querer informar tema afectar comunidad,COMUNICACIÓN SOCIAL,3
interesado propiedad intelectual digital querer especializar yo derecho digital,DERECHO,11
querer funcionar empresa mejorar,ADMINISTRACIÓN,7
investigar solución innovadora ingeniería civil frente desafío sísmico climático,CIVIL,9
querer diseñar estructura innovadora seguro usar herramienta digital niño,CIVIL,9
apasionar filología historia lengua trabajo manuscrito antiguo,LETRAS,10
relación lenguaje realidad explorar enfoque crítico teoría conocimiento,FILOSOFÍA,13
estudiar estrategia inversión anticipar crisis oportunidad financiero,ECONOMÍA,5
gustar analizar sistema proponer mejora,INDUSTRIAL,0
discusión esencia existencia foro círculo filosófico,FILOSOFÍA,13
disfruto planificar entrenamiento oportunidad crecimiento,RELACIONES INDUSTRIALES,12
querer dedicarme investigación social académico,SOCIOLOGÍA,1
apasionar teología moral bioético análisis caso ético,TEOLOGÍA,8
exploro implicación ético derecho protección ambiente recurso natural,DERECHO,11
gustar especializar yo derechos humanos,DERECHO,11
explorar método contabilidad digital aceleran proceso minimizar error,CONTADURÍA,4
querer entender apoyar persona trastorno,PSICOLOGÍA,2
interesado información viajar medio,TELECOMUNICACIONES,16
investigo método mantenimiento predictivo prevenir fallo sistema producción,INDUSTRIAL,0
elaborar estrategia aumentar seguridad transporte dato,TELECOMUNICACIONES,16
querer ayudar mejorar infraestructura país,CIVIL,9
fascinar gestión cambio digital implemento herramienta colaborativa interesar cultura organizacional ágil querer liderar transformación digital,RELACIONES INDUSTRIALES,12
querer mejorar condición trabajo entorno laboral,RELACIONES INDUSTRIALES,12
gustar aplicar técnica gestión estratégico mejorar competitividad empresa,ADMINISTRACIÓN,7
analizar influencia corriente literario identidad cultural social historia,LETRAS,10
interesar auditoría sistema control interno frameworks control,CONTADURÍA,4
perdido página novela,LETRAS,10
software simulación diseñar sistema comunicación inalámbrico,TELECOMUNICACIONES,16
querer desarrollar política público eficaz interesado desigualdad cambio social,SOCIOLOGÍA,1
desarrollo iniciativo fortalecer comunicación interno cohesión empleado,RELACIONES INDUSTRIALES,12
trabajo teoría interseccional género feminismo,SOCIOLOGÍA,1
interesar espiritualidad afectar salud mental,TEOLOGÍA,8
querer identificar oportunidad automatizar tarea operacional análisis dato,INDUSTRIAL,0
diseñar espacio urbano integrar arte naturaleza tecnología comunidad moderno,ARQUITECTURA,6
disfrutar capacitación desarrollo talento trabajo elearning,RELACIONES INDUSTRIALES,12
apasionar periodismo investigación escribir periódico escolar interesar comunicación político social querer periodista documentalista,COMUNICACIÓN SOCIAL,3
trabajar proyecto fusionar red fijo inalámbrica solución comunicación integral,TELECOMUNICACIONES,16
literatura ayudar entender cultura,LETRAS,10
estudio optimización producción análisis tiempo movimiento planta,INDUSTRIAL,0
tecnología educativo enseñar idioma,LETRAS,10
comunicación digital impacto sociedad,COMUNICACIÓN SOCIAL,3
fascinado desarrollo videojuego usar unity and unreal engine,INFORMÁTICA,15
encantar crear personaje historia,LETRAS,10
explorar influencia corriente filosófico tendencia cultural contemporáneo,FILOSOFÍA,13
encantar analizar política económico afectar,ECONOMÍA,5
logística planificación cosa disfrutar trabajar,INDUSTRIAL,0
querer base dato,INFORMÁTICA,15
gustar trabajar hospital clínica ayudar necesitar,PSICOLOGÍA,2
buscar manera reducir costo,INDUSTRIAL,0
desarrollo competencia materia gestión proyecto análisis financiero mejorar eficiencia institucional,ADMINISTRACIÓN,7
disfrutar matemática aplicación construcción,CIVIL,9
interesar relación diseño funcionalidad edificio,ARQUITECTURA,6
utilizar metodologíos ágil instrumento gestión coordinar proyecto evento industrial,INDUSTRIAL,0
gustar luchar corrupción promover justicia,DERECHO,11
interesar integración blockchain asegurar transacción inmutabilidad registro digital,INFORMÁTICA,15
interesado construcción sostenible querer diseñar edificio autosuficiente,CIVIL,9
estudiar intersección filosofía ciencia iluminar cuestión ético,FILOSOFÍA,13
motivar crear campaña sensibilización tema importante,COMUNICACIÓN SOCIAL,3
fascinar cambiar sociedad tiempo,SOCIOLOGÍA,1
mirar evolución red móvil impacto conectividad global,TELECOMUNICACIONES,16
gustar desarrollar programa bienestar promuevo salud mental trabajo interesado trabajo remoto flexible querer crear lugar trabajo saludable,RELACIONES INDUSTRIALES,12
comprometido estudiar conectividad global analizar tecnología emergente transformar forma comunicar compartir información,TELECOMUNICACIONES,16
estudiar papel religión empoderamiento comunidad transformación social,TEOLOGÍA,8
interesado ciberseguridad hacking ético querer crear solución tecnológico innovadora,INFORMÁTICA,15
gustar investigar misticismo espiritualidad,TEOLOGÍA,8
gustar semiótica análisis discurso,LETRAS,10
gustar analizar mercado anticipar tendencia,ADMINISTRACIÓN,7
gustar participar actividad servicio comunitario,TEOLOGÍA,8
red digital comunicación protegido técnica avanzado encriptación,TELECOMUNICACIONES,16
futuro educador investigo recurso digital implementación práctica innovadora facilitar aprendizaje significativo siglo xxi,EDUCACIÓN,14
